race,male,fam_inc,tier,fulltime,lsat,ugpa,decile1b,decile3,zgpa,zfygpa,pass_bar
1,0,3,3,2,36.1,2.4,6.3,5.3,0.6,0.76,0
1,0,2,5,1,27.5,2.3,6.3,5.7,0.63,0.73,0
1,0,3,2,1,26.3,2.3,6.3,5.4,0.61,0.76,0
1,0,3,6,1,31.8,2.2,6.2,5.8,0.65,0.73,0
1,1,7,11,2,84.6,2.2,6.2,5.9,0.69,0.8,1
1,0,2,5,1,25.4,2.4,6.3,5.4,0.6,0.75,0
0,0,2,1,1,23.8,2.4,6.3,5.3,0.59,0.74,0
1,1,4,2,2,48.4,2.4,6.3,5.4,0.6,0.75,0
1,0,3,6,2,37.3,2.2,6.3,5.9,0.68,0.78,0
1,0,2,1,1,25.6,2.2,6.3,5.8,0.66,0.75,0
1,1,5,6,2,59.0,2.4,6.3,5.4,0.6,0.74,0
1,0,2,1,1,22.5,2.2,6.3,5.7,0.68,0.81,0
1,0,2,2,1,30.5,2.2,6.3,5.7,0.66,0.77,0
1,0,2,2,1,24.9,2.2,6.3,5.9,0.7,0.8,0
1,0,3,4,1,34.6,2.2,6.3,5.8,0.68,0.8,0
1,1,5,9,2,67.7,2.2,6.3,5.8,0.66,0.74,0
1,0,3,1,1,24.9,2.4,6.3,5.4,0.59,0.71,0
0,0,2,4,1,25.6,2.4,6.3,5.4,0.6,0.73,0
0,0,2,3,1,26.2,2.4,6.3,5.3,0.59,0.74,0
0,0,2,4,1,22.6,2.2,6.3,5.7,0.66,0.76,0
0,1,4,6,2,48.4,2.3,6.3,5.5,0.62,0.75,0
0,0,2,4,1,22.6,2.3,6.3,5.6,0.63,0.76,0
1,0,4,8,2,47.0,2.3,6.3,5.5,0.62,0.74,0
1,0,2,1,1,25.3,2.3,6.3,5.6,0.64,0.77,0
1,0,3,8,2,39.4,2.3,6.3,5.4,0.61,0.77,0
1,0,2,1,1,26.3,2.3,6.2,5.6,0.64,0.76,0
0,0,3,2,1,21.4,2.3,6.3,5.5,0.62,0.76,0
1,0,3,5,2,35.8,2.3,6.3,5.4,0.61,0.74,0
1,0,2,3,1,26.4,2.3,6.3,5.7,0.66,0.77,0
0,0,3,1,1,28.3,2.4,6.2,5.3,0.58,0.72,0
1,0,2,2,1,19.9,2.3,6.3,5.5,0.63,0.76,0
1,0,3,3,1,27.0,2.3,6.3,5.5,0.63,0.78,0
0,0,2,1,1,22.4,2.3,6.2,5.6,0.63,0.73,0
1,0,3,3,1,25.7,2.1,6.2,5.9,0.71,0.83,0
1,1,5,3,2,51.8,2.3,6.3,5.8,0.64,0.71,0
1,0,3,1,2,38.1,2.2,6.3,5.7,0.66,0.77,0
1,1,4,7,2,50.1,2.3,6.3,5.7,0.65,0.78,0
1,1,5,5,2,61.1,2.3,6.3,5.6,0.65,0.78,0
1,1,4,5,2,51.0,2.3,6.2,5.6,0.64,0.76,0
0,0,3,1,2,31.4,2.2,6.2,5.8,0.65,0.73,0
1,0,2,1,1,21.0,2.3,6.3,5.6,0.64,0.77,0
1,0,2,3,1,26.3,2.1,6.2,6.3,0.75,0.83,0
1,0,4,5,2,44.6,2.1,6.2,6.0,0.71,0.82,0
1,0,2,2,1,23.8,2.3,6.3,5.6,0.63,0.75,0
1,1,4,5,2,51.6,2.2,6.2,5.7,0.65,0.77,0
1,1,5,10,2,53.3,2.3,6.3,5.6,0.64,0.77,0
1,0,3,7,1,33.4,2.3,6.3,5.6,0.63,0.75,0
0,0,2,2,1,25.0,2.4,6.3,5.3,0.57,0.71,0
1,0,3,1,1,25.6,2.2,6.3,5.7,0.66,0.77,0
1,0,3,4,2,37.1,2.1,6.2,6.2,0.74,0.81,0
0,0,2,5,1,25.4,2.3,6.3,5.4,0.61,0.76,0
0,0,2,5,1,26.9,2.3,6.3,5.4,0.6,0.73,0
0,0,3,2,1,27.7,2.4,6.3,5.3,0.59,0.75,0
0,0,3,4,1,34.2,2.4,6.3,5.3,0.58,0.71,0
0,0,3,1,1,30.9,2.2,6.3,5.7,0.66,0.77,0
1,0,4,6,2,38.0,2.3,6.3,5.4,0.61,0.75,0
1,0,2,0,1,20.2,2.4,6.3,5.4,0.6,0.73,0
0,0,2,1,1,25.5,2.4,6.3,5.3,0.59,0.74,0
1,0,4,7,2,46.7,2.3,6.3,5.6,0.64,0.75,0
1,0,2,1,1,23.9,2.3,6.2,5.7,0.64,0.74,0
1,0,2,3,1,21.7,2.3,6.3,5.7,0.65,0.76,0
1,1,5,5,2,58.6,2.2,6.2,5.9,0.69,0.79,0
1,0,2,3,1,24.4,2.2,6.3,5.8,0.67,0.78,0
0,0,2,1,1,24.9,2.3,6.3,5.6,0.64,0.77,0
1,0,3,4,1,23.6,2.2,6.2,5.8,0.67,0.76,0
1,0,3,1,1,27.9,2.2,6.3,5.7,0.65,0.76,0
1,0,3,1,1,22.7,2.3,6.3,5.6,0.65,0.78,0
1,0,3,3,1,25.0,2.2,6.3,5.8,0.67,0.78,0
1,0,3,2,1,27.0,2.3,6.3,5.6,0.64,0.76,0
1,0,2,6,1,25.3,2.2,6.3,5.6,0.65,0.79,0
1,1,5,7,2,65.4,2.2,6.3,5.9,0.69,0.79,0
1,0,4,3,2,41.8,2.3,6.2,5.6,0.64,0.77,0
1,0,3,5,1,29.1,2.2,6.2,5.8,0.68,0.78,0
1,0,3,6,1,24.4,2.2,6.3,5.8,0.67,0.78,0
0,0,2,3,1,23.4,2.3,6.2,5.7,0.64,0.72,0
0,0,2,4,1,20.4,2.3,6.3,5.6,0.64,0.76,0
1,1,5,7,2,61.3,2.2,6.2,5.8,0.67,0.77,0
1,0,3,1,1,27.0,2.3,6.3,5.6,0.63,0.72,0
0,0,2,2,1,22.0,2.2,6.3,5.8,0.67,0.76,0
1,1,5,7,2,61.0,2.4,6.3,5.4,0.6,0.73,0
0,0,4,7,2,44.0,2.3,6.3,5.6,0.63,0.74,0
1,0,2,3,1,26.1,2.3,6.2,5.6,0.63,0.75,0
1,1,5,7,2,59.5,2.1,6.2,6.0,0.7,0.8,0
1,0,3,3,1,23.7,2.2,6.3,5.7,0.67,0.79,0
0,0,2,1,1,24.5,2.3,6.3,5.5,0.61,0.74,0
1,0,3,1,1,28.3,2.4,6.3,5.4,0.6,0.74,0
0,1,4,7,2,49.0,2.4,6.3,5.3,0.57,0.7,0
0,1,5,7,2,56.0,2.4,6.2,5.4,0.6,0.73,0
1,0,2,4,1,24.9,2.3,6.4,5.6,0.63,0.77,0
1,1,6,11,2,76.6,2.2,6.3,5.9,0.7,0.82,1
1,0,3,2,2,38.7,2.1,6.2,6.0,0.7,0.8,0
1,0,3,0,1,26.9,2.4,6.3,5.4,0.59,0.72,0
1,1,4,5,2,52.8,2.1,6.3,6.0,0.72,0.82,0
1,0,4,7,2,44.4,2.4,6.3,5.4,0.61,0.73,0
1,0,2,3,1,27.0,2.3,6.3,5.6,0.62,0.73,0
1,1,8,16,2,92.6,2.2,6.3,5.8,0.66,0.77,1
1,0,2,2,1,21.8,2.4,6.3,5.4,0.59,0.7,0
0,1,4,3,2,47.3,2.4,6.2,5.4,0.6,0.74,0
1,0,2,2,1,23.1,2.5,6.3,5.1,0.56,0.72,0
0,0,2,2,1,22.3,2.3,6.2,5.5,0.61,0.7,0
1,0,4,3,2,45.4,2.2,6.2,5.7,0.66,0.77,0
1,0,3,2,1,21.5,2.3,6.3,5.7,0.65,0.76,0
1,0,2,1,1,24.0,2.2,6.3,5.9,0.69,0.77,0
1,1,5,8,2,56.9,2.2,6.3,5.7,0.67,0.8,0
1,0,3,0,1,24.6,2.4,6.3,5.3,0.59,0.75,0
0,0,2,3,1,21.2,2.3,6.3,5.7,0.64,0.73,0
0,0,4,3,2,42.0,2.4,6.3,5.3,0.58,0.72,0
1,1,8,14,2,96.5,2.2,6.3,5.7,0.65,0.77,1
1,0,2,0,1,25.1,2.0,6.3,6.5,0.78,0.84,0
1,0,2,1,1,24.2,2.3,6.3,5.4,0.6,0.73,0
1,1,6,8,2,66.1,2.2,6.3,5.7,0.66,0.78,0
1,0,3,2,1,26.7,2.4,6.3,5.3,0.59,0.72,0
0,0,2,5,1,33.0,2.4,6.3,5.3,0.58,0.71,0
1,0,4,4,2,45.0,2.3,6.3,5.6,0.62,0.73,0
1,0,3,2,2,38.3,2.2,6.3,5.7,0.66,0.77,0
1,0,3,1,1,26.0,2.2,6.2,5.9,0.68,0.76,0
1,1,7,11,2,83.2,2.3,6.3,5.6,0.64,0.76,1
1,0,2,1,1,21.7,2.2,6.3,5.7,0.66,0.78,0
1,1,4,5,2,47.8,2.3,6.3,5.6,0.64,0.75,0
1,0,2,0,1,20.9,2.4,6.3,5.3,0.59,0.75,0
1,0,3,5,1,31.4,2.3,6.3,5.5,0.63,0.76,0
1,0,2,1,1,23.0,2.3,6.3,5.6,0.64,0.76,0
0,0,4,4,2,44.2,2.3,6.3,5.5,0.63,0.77,0
1,1,5,9,2,59.2,2.4,6.3,5.4,0.6,0.74,0
0,0,3,6,2,37.1,2.3,6.3,5.5,0.63,0.76,0
1,0,2,2,1,26.9,2.1,6.3,6.0,0.72,0.82,0
1,0,4,4,2,38.1,2.2,6.3,5.7,0.66,0.78,0
1,0,2,3,1,22.8,2.3,6.3,5.4,0.61,0.74,0
1,0,2,3,1,24.8,2.2,6.3,5.7,0.66,0.78,0
1,0,4,3,2,45.6,2.3,6.2,5.6,0.64,0.74,0
0,1,5,8,2,57.0,2.3,6.3,5.5,0.62,0.74,0
1,0,3,5,1,27.0,2.3,6.2,5.6,0.63,0.76,0
0,0,4,6,2,46.1,2.4,6.3,5.2,0.57,0.74,0
1,0,2,1,1,24.5,2.2,6.2,5.8,0.68,0.8,0
1,0,2,2,1,23.2,2.4,6.3,5.3,0.58,0.72,0
1,1,4,6,2,50.0,2.1,6.3,6.2,0.73,0.81,0
0,0,2,2,1,21.6,2.4,6.3,5.2,0.56,0.7,0
1,0,3,8,2,40.3,2.3,6.2,5.5,0.63,0.76,0
1,0,3,8,1,33.5,2.2,6.3,5.9,0.68,0.77,0
0,1,6,11,2,71.0,2.3,6.3,5.6,0.63,0.76,1
1,0,2,4,1,22.7,2.2,6.3,5.7,0.66,0.78,0
0,0,3,2,1,28.4,2.4,6.3,5.4,0.6,0.74,0
1,0,4,6,2,38.3,2.4,6.2,5.3,0.58,0.73,0
0,0,4,3,2,39.0,2.4,6.3,5.4,0.59,0.71,0
1,0,3,2,1,26.9,2.3,6.3,5.5,0.62,0.76,0
1,0,3,0,2,29.5,2.3,6.3,5.4,0.61,0.74,0
1,1,6,11,2,73.2,2.3,6.3,5.5,0.62,0.75,1
1,0,2,1,1,26.0,2.3,6.3,5.6,0.64,0.76,0
1,0,4,4,2,37.3,2.3,6.3,5.6,0.64,0.77,0
1,1,6,7,2,63.2,2.2,6.3,5.8,0.68,0.78,0
1,0,2,3,1,23.6,2.3,6.3,5.6,0.63,0.76,0
1,0,2,1,1,25.3,2.3,6.2,5.4,0.61,0.74,0
1,1,6,15,2,78.1,2.3,6.3,5.6,0.63,0.75,1
1,1,5,7,2,55.9,2.2,6.3,5.8,0.68,0.8,0
1,1,5,6,2,56.8,2.2,6.3,5.8,0.66,0.74,0
1,0,2,5,1,25.0,2.2,6.3,5.7,0.66,0.79,0
1,0,3,1,1,29.6,2.2,6.3,5.7,0.65,0.75,0
0,0,2,0,1,25.8,2.4,6.3,5.3,0.59,0.73,0
1,0,2,1,1,23.0,2.3,6.3,5.6,0.63,0.76,0
1,0,3,5,1,24.1,2.3,6.2,5.6,0.64,0.76,0
1,1,6,12,2,65.9,2.3,6.3,5.5,0.63,0.76,0
1,0,3,3,2,37.2,2.2,6.3,5.8,0.67,0.78,0
0,0,3,7,2,39.2,2.4,6.3,5.2,0.57,0.73,0
1,0,2,2,1,27.2,2.2,6.3,5.7,0.66,0.76,0
1,0,3,3,1,26.8,2.3,6.2,5.6,0.64,0.76,0
1,0,4,4,2,44.0,2.4,6.3,5.4,0.6,0.71,0
1,0,4,5,2,43.7,2.2,6.3,5.7,0.66,0.77,0
0,1,4,3,2,48.0,2.4,6.3,5.4,0.6,0.74,0
1,1,5,7,2,48.2,2.4,6.3,5.3,0.58,0.73,0
1,0,2,1,1,23.3,2.2,6.3,5.8,0.68,0.77,0
0,0,2,2,1,23.9,2.3,6.2,5.5,0.61,0.74,0
1,0,4,9,2,40.8,2.1,6.2,6.1,0.72,0.8,0
1,0,2,1,1,25.2,2.3,6.3,5.8,0.66,0.75,0
0,0,3,1,2,33.4,2.4,6.3,5.3,0.58,0.71,0
1,0,2,4,1,24.0,2.2,6.3,5.7,0.66,0.78,0
1,0,3,3,2,37.6,2.2,6.3,5.7,0.66,0.78,0
0,1,5,7,2,52.9,2.5,6.3,5.2,0.55,0.68,0
1,0,2,0,1,22.4,2.3,6.3,5.6,0.63,0.74,0
1,0,4,8,2,46.5,2.2,6.3,5.7,0.67,0.79,0
1,1,5,6,2,51.4,2.2,6.3,5.9,0.69,0.79,0
1,0,2,3,1,26.4,2.3,6.3,5.6,0.62,0.71,0
1,1,5,8,2,56.2,2.3,6.3,5.4,0.61,0.74,0
0,0,2,0,1,23.7,2.4,6.2,5.4,0.6,0.73,0
1,1,8,13,2,103.1,2.3,6.3,5.7,0.65,0.75,1
1,0,3,6,1,28.1,2.0,6.3,6.4,0.77,0.85,0
0,0,2,1,1,26.6,2.3,6.3,5.6,0.65,0.76,0
1,0,2,2,1,25.4,2.2,6.3,5.9,0.69,0.79,0
1,0,2,5,1,24.0,2.1,6.2,6.1,0.72,0.81,0
1,0,2,1,1,23.9,2.3,6.3,5.5,0.62,0.76,0
1,0,4,6,1,35.5,2.2,6.2,5.8,0.67,0.76,0
1,1,6,6,2,62.8,2.3,6.3,5.6,0.63,0.75,0
0,0,4,8,2,45.5,2.4,6.3,5.4,0.59,0.72,0
1,0,3,4,2,36.4,2.3,6.3,5.6,0.64,0.76,0
1,1,7,10,2,85.5,2.2,6.3,5.9,0.68,0.79,1
1,1,5,6,2,50.6,2.1,6.3,6.1,0.72,0.8,0
1,0,3,4,1,30.6,2.3,6.3,5.5,0.64,0.78,0
1,0,3,5,2,37.0,2.3,6.2,5.6,0.64,0.75,0
1,0,2,8,1,24.5,2.4,6.3,5.3,0.57,0.72,0
1,1,5,3,2,51.3,2.3,6.3,5.5,0.6,0.72,0
1,0,2,5,1,25.4,2.2,6.2,5.9,0.67,0.75,0
1,1,6,8,2,72.1,2.3,6.3,5.6,0.65,0.78,1
0,0,4,5,1,35.1,2.4,6.3,5.3,0.6,0.76,0
1,0,2,1,1,24.8,2.5,6.3,5.2,0.56,0.7,0
1,0,3,0,2,33.9,2.2,6.2,5.8,0.67,0.79,0
1,0,3,0,1,28.5,2.3,6.3,5.6,0.63,0.74,0
1,1,5,7,2,54.1,2.2,6.3,5.8,0.67,0.79,0
0,0,3,1,1,22.0,2.3,6.3,5.6,0.63,0.73,0
1,0,2,4,1,21.4,2.3,6.3,5.5,0.63,0.75,0
1,0,2,2,1,19.8,2.4,6.3,5.4,0.6,0.74,0
1,0,2,1,1,21.0,2.2,6.3,5.8,0.67,0.77,0
1,0,4,5,2,42.2,2.2,6.2,5.8,0.66,0.75,0
1,0,4,5,2,41.0,2.2,6.3,5.8,0.67,0.78,0
1,1,4,4,2,48.3,2.3,6.3,5.7,0.65,0.77,0
1,0,2,2,1,25.8,2.3,6.3,5.6,0.64,0.78,0
1,1,6,8,2,71.4,2.3,6.3,5.4,0.61,0.76,1
0,1,7,10,2,78.3,2.5,6.3,5.2,0.55,0.69,1
1,0,2,0,1,24.1,2.2,6.2,5.8,0.66,0.77,0
0,0,2,2,1,19.1,2.3,6.3,5.5,0.63,0.77,0
1,0,2,2,1,23.2,2.3,6.2,5.6,0.64,0.76,0
1,0,3,2,2,38.0,2.2,6.3,5.9,0.67,0.75,0
0,1,4,4,2,48.2,2.3,6.3,5.6,0.63,0.77,0
1,0,3,1,1,22.9,2.3,6.3,5.7,0.65,0.76,0
1,0,4,4,2,40.6,2.2,6.2,5.8,0.68,0.79,0
0,1,6,5,2,65.8,2.4,6.3,5.4,0.59,0.72,0
1,0,2,2,1,25.6,2.3,6.3,5.6,0.64,0.78,0
1,0,2,2,1,23.1,2.3,6.3,5.7,0.65,0.78,0
1,0,2,0,1,22.8,2.3,6.3,5.6,0.64,0.76,0
1,1,6,12,2,71.6,2.2,6.2,5.8,0.68,0.79,1
1,0,2,1,1,22.9,2.2,6.3,5.7,0.66,0.78,0
1,0,3,2,1,24.1,2.2,6.2,5.8,0.67,0.76,0
1,0,4,3,2,46.0,2.2,6.3,5.7,0.66,0.78,0
1,0,2,3,1,22.6,2.2,6.3,5.8,0.66,0.75,0
1,0,2,3,1,23.0,2.3,6.2,5.4,0.61,0.76,0
0,0,3,3,1,28.1,2.3,6.3,5.4,0.62,0.77,0
1,0,3,4,1,34.4,2.2,6.3,5.8,0.68,0.8,0
0,1,5,5,2,60.0,2.3,6.3,5.5,0.61,0.74,0
1,0,4,3,2,35.8,2.4,6.3,5.5,0.6,0.71,0
1,0,3,6,2,41.1,2.3,6.3,5.5,0.62,0.76,0
1,1,5,9,2,57.6,2.1,6.2,6.1,0.72,0.82,0
1,0,4,4,2,44.2,2.4,6.3,5.5,0.61,0.71,0
1,0,2,4,1,22.2,2.3,6.3,5.7,0.64,0.74,0
1,1,8,16,2,96.0,2.2,6.3,5.7,0.66,0.78,1
1,0,2,2,1,20.8,2.3,6.3,5.4,0.6,0.74,0
1,0,4,7,2,43.8,2.4,6.3,5.3,0.58,0.71,0
1,0,2,2,1,26.7,2.2,6.2,5.8,0.66,0.76,0
1,0,2,5,1,22.4,2.1,6.3,5.9,0.7,0.81,0
1,0,2,5,1,25.7,2.2,6.3,5.9,0.69,0.79,0
1,1,9,16,2,109.2,2.1,6.3,6.0,0.71,0.82,1
0,0,2,3,1,24.1,2.3,6.3,5.5,0.62,0.76,0
1,0,2,2,1,23.0,2.3,6.3,5.5,0.63,0.76,0
0,0,2,1,1,22.9,2.4,6.3,5.3,0.59,0.73,0
1,0,3,1,1,30.1,2.3,6.3,5.5,0.63,0.76,0
1,1,8,16,2,97.2,2.2,6.2,5.7,0.65,0.75,1
1,0,2,3,1,22.6,2.2,6.3,5.8,0.68,0.79,0
1,0,2,2,1,23.8,2.3,6.3,5.6,0.64,0.75,0
1,0,2,2,1,24.4,2.2,6.3,5.7,0.67,0.8,0
0,0,4,3,2,40.5,2.3,6.3,5.5,0.61,0.74,0
0,0,2,0,1,25.5,2.3,6.3,5.5,0.62,0.76,0
1,0,4,4,2,37.6,2.3,6.3,5.5,0.62,0.77,0
0,0,3,2,1,30.8,2.3,6.3,5.6,0.64,0.76,0
1,1,5,7,2,53.9,2.2,6.3,5.7,0.66,0.77,0
1,1,6,4,2,63.9,2.2,6.3,5.8,0.68,0.8,0
0,1,5,7,2,53.1,2.4,6.2,5.3,0.59,0.71,0
1,1,5,4,2,51.8,2.3,6.3,5.6,0.64,0.76,0
1,0,2,5,1,25.3,2.4,6.2,5.4,0.6,0.74,0
0,0,3,4,1,24.3,2.3,6.3,5.5,0.63,0.76,0
1,1,5,6,2,55.2,2.4,6.3,5.3,0.59,0.72,0
1,0,2,1,1,22.2,2.4,6.3,5.5,0.61,0.74,0
1,0,2,3,1,22.4,2.2,6.2,5.9,0.69,0.77,0
1,1,4,6,2,48.7,2.3,6.3,5.5,0.63,0.77,0
1,0,2,6,1,22.0,2.2,6.3,5.7,0.66,0.77,0
1,1,7,5,2,77.7,2.2,6.2,5.7,0.66,0.77,1
1,0,4,5,2,43.5,2.1,6.3,6.0,0.72,0.82,0
1,0,2,1,1,19.6,2.4,6.3,5.4,0.6,0.72,0
1,0,2,0,1,22.6,2.4,6.3,5.3,0.59,0.74,0
1,0,4,6,2,40.7,2.3,6.3,5.5,0.61,0.73,0
1,1,5,10,2,64.5,2.3,6.3,5.6,0.64,0.76,0
1,0,2,6,1,26.1,2.3,6.3,5.7,0.65,0.76,0
1,0,3,2,1,23.7,2.4,6.3,5.4,0.59,0.7,0
0,1,5,7,2,59.4,2.5,6.3,5.1,0.54,0.7,0
1,0,3,5,2,35.8,2.3,6.3,5.6,0.63,0.74,0
1,0,3,2,2,32.6,2.2,6.3,5.7,0.66,0.78,0
1,0,2,3,1,23.9,2.3,6.2,5.6,0.65,0.79,0
1,1,7,12,2,84.2,2.4,6.3,5.2,0.57,0.72,1
0,0,2,4,1,23.1,2.4,6.3,5.4,0.6,0.74,0
1,0,3,1,1,27.3,2.4,6.2,5.3,0.58,0.71,0
1,1,5,9,2,62.5,2.3,6.3,5.5,0.62,0.75,0
1,1,5,8,2,60.8,2.3,6.3,5.5,0.63,0.77,0
0,0,2,1,1,22.2,2.3,6.2,5.6,0.64,0.76,0
1,0,2,1,1,23.6,2.3,6.3,5.6,0.64,0.76,0
1,0,3,2,1,27.1,2.2,6.3,5.9,0.69,0.8,0
1,0,2,2,1,20.6,2.3,6.3,5.6,0.65,0.77,0
1,0,2,3,1,22.1,2.2,6.3,5.7,0.66,0.79,0
1,0,3,3,1,28.4,2.2,6.3,5.7,0.66,0.77,0
1,1,5,9,2,58.0,2.2,6.2,5.9,0.69,0.79,0
1,0,3,1,1,31.0,2.2,6.3,6.0,0.69,0.77,0
1,1,4,9,2,48.7,2.4,6.3,5.4,0.6,0.73,0
1,1,9,17,2,110.7,2.2,6.3,5.8,0.68,0.79,1
1,1,5,9,2,61.5,2.4,6.3,5.3,0.59,0.75,1
1,1,7,9,2,79.2,2.3,6.3,5.5,0.63,0.76,1
1,1,5,9,2,63.6,2.2,6.3,5.7,0.67,0.8,0
1,0,2,0,1,24.6,2.3,6.3,5.4,0.61,0.75,0
1,1,5,6,2,58.8,2.2,6.3,5.7,0.67,0.78,0
1,1,6,9,2,70.7,2.2,6.3,5.7,0.66,0.78,1
1,0,4,2,2,42.2,2.4,6.2,5.3,0.58,0.7,0
1,0,3,4,1,23.8,2.3,6.3,5.5,0.62,0.75,0
1,0,4,3,2,45.0,2.3,6.3,5.4,0.62,0.77,0
1,0,2,4,1,21.7,2.2,6.3,5.8,0.68,0.78,0
0,0,4,4,2,37.5,2.3,6.3,5.4,0.61,0.74,0
1,0,3,2,2,39.9,2.4,6.3,5.4,0.6,0.73,0
1,0,2,2,1,19.9,2.4,6.3,5.3,0.58,0.69,0
1,0,2,4,1,23.2,2.1,6.2,5.9,0.7,0.82,0
0,0,3,2,1,26.0,2.3,6.3,5.5,0.63,0.76,0
0,0,3,2,1,24.2,2.3,6.3,5.5,0.62,0.73,0
0,1,8,11,2,92.1,2.3,6.3,5.4,0.61,0.76,1
1,0,3,2,1,24.6,2.3,6.2,5.6,0.64,0.76,0
1,0,2,3,1,22.3,2.2,6.2,5.7,0.67,0.79,0
1,0,3,3,2,41.4,2.3,6.3,5.7,0.66,0.77,0
0,0,2,1,1,20.5,2.4,6.4,5.4,0.61,0.75,0
1,0,2,2,1,22.5,2.3,6.3,5.6,0.64,0.76,0
0,0,3,1,1,24.8,2.2,6.3,5.6,0.65,0.79,0
1,0,2,3,1,23.8,2.2,6.3,5.8,0.68,0.8,0
1,0,2,3,1,21.9,2.3,6.3,5.6,0.64,0.76,0
1,0,3,6,1,25.6,2.2,6.3,5.7,0.66,0.77,0
0,0,2,4,1,23.9,2.4,6.3,5.4,0.59,0.72,0
1,0,3,3,1,28.6,2.2,6.3,5.8,0.68,0.79,0
1,1,7,14,2,82.2,2.3,6.3,5.5,0.62,0.73,1
0,0,2,3,1,26.8,2.2,6.2,5.6,0.65,0.78,0
1,0,3,2,1,25.6,2.3,6.3,5.6,0.62,0.73,0
1,0,2,4,1,23.4,2.4,6.3,5.4,0.59,0.73,0
1,1,6,13,2,68.2,2.2,6.3,5.9,0.69,0.79,0
0,0,2,1,1,20.0,2.4,6.3,5.3,0.59,0.74,0
1,0,4,5,2,44.0,2.5,6.3,5.3,0.56,0.67,0
0,0,2,0,1,25.1,2.4,6.3,5.2,0.58,0.73,0
0,0,2,1,1,22.2,2.3,6.2,5.7,0.64,0.74,0
0,1,7,11,2,76.4,2.3,6.3,5.5,0.63,0.76,1
0,1,5,9,2,63.5,2.3,6.3,5.6,0.64,0.77,0
1,0,2,1,1,23.4,2.3,6.3,5.5,0.61,0.72,0
0,0,2,1,1,21.5,2.4,6.3,5.3,0.58,0.73,0
1,0,4,8,2,45.3,2.3,6.3,5.5,0.64,0.77,0
1,0,2,4,1,20.7,2.2,6.3,5.7,0.67,0.81,0
1,0,4,6,2,42.3,2.1,6.3,6.2,0.74,0.83,0
1,0,3,6,1,36.6,2.2,6.3,5.7,0.65,0.76,0
1,0,3,4,1,25.9,2.3,6.3,5.6,0.62,0.73,0
0,0,3,0,2,31.0,2.4,6.3,5.5,0.61,0.71,0
1,0,2,0,1,23.0,2.3,6.3,5.6,0.64,0.75,0
1,0,2,2,1,20.8,2.2,6.3,5.8,0.69,0.8,0
0,0,2,1,1,20.1,2.4,6.3,5.3,0.58,0.72,0
1,0,2,1,1,21.8,2.3,6.3,5.4,0.61,0.76,0
1,0,4,4,2,44.7,2.3,6.3,5.5,0.64,0.78,0
1,0,2,4,1,21.6,2.3,6.2,5.6,0.64,0.77,0
0,1,6,9,2,68.0,2.4,6.3,5.3,0.59,0.74,1
0,0,4,4,2,39.9,2.4,6.3,5.3,0.59,0.73,0
1,0,3,5,1,25.3,2.3,6.3,5.4,0.61,0.75,0
1,0,3,2,2,34.1,2.2,6.3,5.7,0.66,0.77,0
0,0,4,6,2,43.3,2.2,6.3,5.7,0.67,0.79,0
1,1,6,7,2,67.8,2.2,6.3,5.7,0.65,0.76,0
1,1,6,9,2,72.9,2.3,6.3,5.6,0.65,0.79,1
0,0,3,4,1,31.3,2.4,6.3,5.4,0.6,0.74,0
1,0,2,1,1,21.8,2.2,6.3,5.6,0.65,0.77,0
1,0,2,1,1,22.0,2.4,6.2,5.3,0.58,0.73,0
0,0,2,1,1,20.7,2.4,6.3,5.3,0.57,0.7,0
1,1,5,9,2,60.4,2.2,6.2,5.7,0.67,0.79,0
0,0,2,6,1,19.3,2.2,6.3,5.7,0.66,0.78,0
1,0,2,3,1,25.3,2.2,6.2,5.8,0.67,0.77,0
1,0,2,2,1,24.3,2.4,6.2,5.5,0.61,0.73,0
1,0,2,1,1,22.9,2.3,6.3,5.5,0.63,0.76,0
0,0,2,4,1,23.4,2.4,6.3,5.4,0.6,0.75,0
1,0,3,4,1,28.3,2.4,6.2,5.3,0.58,0.71,0
1,1,5,9,2,52.8,2.2,6.3,5.7,0.66,0.78,0
0,0,3,1,1,24.9,2.4,6.3,5.3,0.6,0.75,0
1,0,3,1,1,28.5,2.2,6.3,5.9,0.69,0.78,0
0,0,4,4,2,40.4,2.4,6.3,5.5,0.62,0.73,0
0,0,3,2,1,24.4,2.3,6.3,5.6,0.62,0.7,0
1,0,2,1,1,20.4,2.3,6.3,5.5,0.62,0.74,0
1,0,2,1,1,22.0,2.3,6.3,5.6,0.63,0.76,0
1,0,3,4,1,25.6,2.3,6.3,5.5,0.62,0.75,0
0,0,3,2,1,28.3,2.2,6.3,5.7,0.66,0.77,0
1,0,2,2,1,24.2,2.4,6.3,5.4,0.59,0.72,0
1,0,2,4,1,23.6,2.2,6.3,5.7,0.67,0.79,0
1,0,4,5,2,47.0,2.2,6.3,5.8,0.68,0.78,0
1,1,5,9,2,61.2,2.2,6.3,5.7,0.65,0.77,0
1,0,4,3,2,34.8,2.3,6.3,5.5,0.64,0.78,0
1,0,2,3,1,22.3,2.2,6.2,5.6,0.65,0.77,0
1,1,9,15,2,104.0,2.4,6.3,5.3,0.58,0.72,1
1,1,4,7,2,48.6,2.3,6.3,5.7,0.64,0.75,0
0,0,2,2,1,21.6,2.3,6.3,5.6,0.63,0.75,0
